,review,sentiment
18727,"It's easy to forget, once later series had developed the alien conspiracy plot arc more, that once upon a time, The X-Files' wrote episodes like ""GenderBender"" and ""Fearful Symmetry"", where the aliens weren't all little grey men or mind-control goop, but could actually surprise you.<br /><br />""Fearful Symmetry"" starts with an ""invisible elephant"" - actually an elephant somehow dislocated in space and time, not a mile away from ""The Walk"" - and ends with a pregnant gorilla being abducted. And it's very much an episode of wonderful moments. The subplot is annoyingly worthy - yeah, we get it, zoos are bad except when they're not - but the ideas that within it are fascinating, visually powerful, and very memorable, and it covers an angle on abduction that is largely overlooked - why *would* humans be the only things that aliens are interested in?<br /><br />In the end, it wasn't an instant classic, but it was enjoyable viewing while it lasted, again, very memorable, and mainly, it's something that you couldn't imagine many other shows doing.",positive
43361,"There is no way to avoid a comparison between The Cat in the Hat and The Grinch Who Stole Christmas, so let's get that part out of the way. First of all, let me start by saying that I think Grinch was an underrated and unappreciated film. Cat was... well, just awful.<br /><br />Jim Carey was cast because he is a brilliant physical comedian, and fearlessly commits to over the top, outrageous characters. Mike Myers fell back on his old bag of tricks.<br /><br />Why, why, why Mike Myers?? The kids could care less, and the Austin Powers demographic isn't going to spy this film. So, what was the studio thinking?<br /><br />The Cat was also apparently related to Linda Richmond. Can we talk? Why a New York Accent? Not entirely consistent with anything Dr. Seuss has ever written. Myers was even allowed to sneak in his Scottish shtick. I wonder how many different voices the director and the studio tried to edit out of before they just gave in and said ""as long as you don't say fahklempt', you can keep the accents."" Meyers never seemed to find any sort of comfort, either with the costume, make-up, or dialogue.<br /><br />The jokes, what few there were, were crude and age inappropriate. When Myers picks up a garden hoe and delivers to the camera: ""dirty ho"", everything but the rim shot was missing, and even that wouldn't have helped.<br /><br />The same folks who created 'Whoville', clearly had a hand in the creation of the town and the houses in 'Cat'. The sets and props were very appealing, giving the viewer a much needed distraction from the bad writing, direction, and Myers.<br /><br />There was some fun to be had with Alec Baldwin and Kelly Preston. Dakota Fanning was the only actor who seemed to be aware she was in a movie based on a Dr. Seuss classic, and stayed true to the genre.<br /><br />Call the SPCA. This Cat should be neutered and never be allowed to reproduce again. Please, please, no sequel.",negative
2639,"Young Mr. Lincoln marks the first film of the director/star collaboration of John Ford and Henry Fonda. I recall years ago Fonda telling that as a young actor he was understandably nervous about playing Abraham Lincoln and scared he wouldn't live up to the challenge.<br /><br />John Ford before the shooting starts put him at ease by saying he wasn't going to be playing the Great Emancipator, but just a jack-leg prairie lawyer. That being settled Fonda headed a cast that John Ford directed into a classic film.<br /><br />This is not a biographical film of Lincoln. That had come before in the sound era with Walter Huston and a year after Young Mr. Lincoln, Raymond Massey did the Pulitzer Prize winning play by Robert Sherwood Abe Lincoln in Illinois. Massey still remains the definitive Lincoln.<br /><br />But as Ford said, Fonda wasn't playing the Great Emancipator just a small town lawyer in Illinois. The film encompasses about 10 years of Lincoln's early life. We see him clerking in a general store, getting some law books from an immigrant pioneer family whose path he would cross again later in the story. And his romance with Ann Rutledge with her early death leaving Lincoln a most melancholy being.<br /><br />Fast forward about 10 years and Lincoln is now a practicing attorney beginning to get some notice. He's served a couple of terms in the legislature, but he's back in private practice not really sure if politics is for him.<br /><br />This is where the bulk of the action takes place. The two sons of that family he'd gotten the law books from way back when are accused of murder. He offers to defend them. And not an ordinary murder but one of a deputy sheriff. <br /><br />The trial itself is fiction, but the gambit used in the defense of Richard Cromwell and Eddie Quillan who played the two sons is based on a real case Lincoln defended. I'll say no more.<br /><br />Other than the performances, the great strength of Young Mr. Lincoln is the way John Ford captures the mood and atmosphere and setting of a small Illinois prairie town in a Fourth of July celebration. It's almost like you're watching a newsreel. And it was the mood of the country itself, young, vibrant and growing.<br /><br />Fans of John Ford films will recognize two musical themes here that were repeated in later films. During the romantic interlude at the beginning with Fonda and Pauline Moore who played Ann Rutledge the music in the background is the same theme used in The Man Who Shot Liberty Valance for Vera Miles. And at a dance, the tune Lovely Susan Brown that Fonda and Marjorie Weaver who plays Mary Todd is the same one Fonda danced with Cathy Downs to, in My Darling Clementine at the dance for the raising of a church in Tombstone. <br /><br />Lincoln will forever be a favorite subject of biographers and dramatists because of two reasons, I believe. The first is he's the living embodiment of our own American mythology about people rising from the very bottom to the pinnacle of power through their own efforts. In fact Young Mr. Lincoln very graphically shows the background Lincoln came from. And secondly the fact that he was our president during the greatest crisis in American history and that he made a singularly good and moral decision to free slaves during the Civil War, albeit for some necessary political reasons. His assassination assured his place in history.<br /><br />Besides Fonda and others I've mentioned special praise should also go to Fred Kohler, Jr. and Ward Bond, the two town louts, Kohler being the murder victim and Bond the chief accuser. Also Donald Meek as the prosecuting attorney and Alice Brady in what turned out to be her last film as the pioneer mother of Cromwell and Quillan. And a very nice performance by Spencer Charters who specialized in rustic characters as the judge.<br /><br />For a film that captures the drama and romance of the time it's set in, you can't do better than Young Mr. Lincoln.",positive
28515,"Beautifully done. A lot of angst. Friendship may not endure all, but in the end it's all that matters, or so a group of friends learn. I have watched it over and over again. The music is also amazing. When Kei loses the one friend he has he gives up until he meets Sho, an orphan boy who is not repelled by his true nature. In the lawless streets of Mallepa they struggle for their own place among a melting pot of Asian races, and learn that sometimes being on top can cost you more than you are ever ready to pay. A surprise ending that grips as much as the whole movie does. I couldn't get enough of it. Gackt and Hyde do a wonderful job of acting, proving they are more than pretty boys who sing.",positive
39291,"When I went and saw this movie, I had great expectations. But I had so wrong. This movie was exactly as every other horror movies. It's a virus, zombies etc. Exactly as Resident Evil and many, many other movies. But the difference with this, and other movies, is that the story is very week. It's bad actors and boring music. The photo is OK but the rest is total crap. Don't see this ""horror"" movie, go and see the Ring 2 or any other movie who's much more of a story. I hope they will stop making horror movies who has a virus and the virus spread and make people to zombies. We have seen enough of that. The only good thing in the movie is when they are standing at a roof and shoot famous, infected celebrities.",negative
43176,"What can I say? This was hands-down the worst movie I have ever seen in my life (and believe me, some of my favorite movies are admittedly horrible). The acting was amateurish, the sets were boring, and the camerawork was shoddy and sophomoric. This whole movie seemed like a college final project. I had to keep convincing myself that it was done by a teenager to make it seem somewhat good. The most disturbing factor of the ""film"" is that it's not even film at all-- it 's shot on video. That was extremely distracting. On top of all that, the dialogue is simply disastrous and the plot line is so basic it makes my eyes water. Not to mention they steal from at least four other horror movies in the first 20 minutes or so. If there were such a thing as zero stars, this movie would get it.<br /><br />The only thing scary about this movie is how bad it is.",negative
35278,"A labor of love. Each frame is picture perfect and grabs you. Then the sheer emotion and story-telling take you through a dream that stays with you long after the movie. The director gets your heart and leads it through 100 minutes of visual poetry. You are a part of the emotional ride of the characters. I have seen this movie at 2 festivals and it got with standing ovations at every showing. The remarkable story-telling transcends nationality and language and I felt I was a part of the drama unfolding before me. The casting is as perfect as one can get. Vijay Raaz, Camille and Benoit each hold their own. <br /><br />I strongly recommend this film to everyone who appreciates good cinema. I can't wait for the commercial release of this movie.",positive
23809,"Probably the most whimsical installment of the first season, 'Shore Leave' has its ups and downs; some parts drag on too long and others are unambitiously cut short, but one can't deny they threw in everything but the proverbial kitchen sink to make this an entertaining episode. Kirk and crew seem to have found the perfect planet for shore leave after an extended tour of duty has left everyone on board in need of rest, relaxation and so on. It appears for all intents and purposes to be an uninhabited Earth, with beautiful scenery and an ideal climate. The first indication that things might go just a little awry is when McCoy, leading an advance team, spots Alice (from Wonderland) following a large white rabbit wearing a vest. Kirk beams down and finds the others reporting similarly bizarre happenings and encounters. The one thing they all have in common is that each crew member was thinking about the person/place/thing they discovered right before they discovered it. This doesn't immediately sink in with Kirk or anyone else. More strangeness ensues, including sightings of Don Juan, a Siberian tiger, a WW2 fighter plane, etc; Kirk meets up with Ruth, a gorgeous old girlfriend (of course) and a bully from his Academy days, Finnegan. The chase/fight scene with Finnegan goes on too long but at the same time, McCoy is run through with a lance by a knight on horseback and apparently killed. Finally, an elderly man appears and explains what has been happening. The planet is a futuristic 'amusement park' where visitors have only to imagine something to have it appear. Nothing is permanent; McCoy isn't really dead. Once this is explained, Kirk decides to order shore leave for everyone after all. Despite the 'it was all a dream' sort of ending, 'Shore Leave' holds up as another first-rate episode of Star Trek's first season.",positive
12739,"Disney-like entertainment with some un-Disney-like moments of graphic violence and sexual references. Lousy comedy alongside cliché-ridden moralizing. Noah as Abraham, Lot as his wicked buddy. Laughable special effects. Overdone acting with bad timing. Sodom and Gommorah were destroyed before the Flood? Strange twists and too many sub-plots the Bible doesn't mention. God as a doubting father who just needs to be entertained by whistling before deciding the world has to be saved from disaster.<br /><br />B-movie wannabee director John Irvin adds another failure to his worthless list of poorly-directed movies that seriously lack plot and direction.",negative
34185,"The emotional impact of this movie defies words. It is elegant, subtle, beautiful, and tragic all rolled into two hours. This is Will Smith as he matures into his acting ability, the full range of it. Who knew? I saw The Pursuit of Happiness and thought, this must be a fluke for the blockbuster, over-the-top actor, Smith. His performances in both movies portray a whole other dimension to Smith, a refinement of talent, the selectivity of scripts, I'm not sure, but I view him differently now. Seven Pounds is one of those movies that in order to fully enjoy its essence you have to suspend your belief. Don't watch it for the plot, watch it for the fragile condition of the human heart, both literally and metaphorically. It is a story of human guilt, atonement, love, and sacrifice.",positive
47583,"I caught this at the Chicago IndieFest and have to say YOU ARE ALONE is a lot funnier than the other reviews and even the website would lead you to think. Not HA HA Wedding Crashers' funny, but sick, twisted, I can't believe she just said that but it's so damn true funny.<br /><br />Jessica Bohl, who deservedly won Best Actress, is amazing to watch. There's never a moment when you think oh, I'm watching a movie and she's an actress. She's too damn real for words.<br /><br />In fact there's 2 scenes that I'm still giggling over, and I won't give them away, but in one she's in the bathroom talking about how much she gets paid for performing a certain service and how ""awesome"" it is. (I almost wonder how many people in the audience are secretly thinking the same thing!!!) <br /><br />In another she talks about a teenagers definition of ""sex"" versus an adults, and if it isn't the truest dialog I've heard in a movie in a long time, I don't know what is.",positive
14446,"You could see the final outcome from a mile away.All the signs were there....the prom,the liquor,the fast ride,the distraction of the females.... A good commercial for seatbelt usage,and later model vehicles that sit the passengers further back from the windshield.Also,the ending is rather anti climatic,as the Ford Econoline van barely suffers a crease across its nose after hitting a bridge abuttment at high speed (highly unlikely).More damage to the van would have made it a little more believable.And why do these films always take place during/after a prom? Is it a case of once you survive the prom,you will be good for life? More than anything else,it shows the lack of policing the prom for liquor,and not keeping tabs on the MINORs who are leaving the dance for a joyride.",negative
18109,"The movie is plain bad. Simply awful. The string of bad movies from Bollywood has no end! They must be running out of excuses for making such awful movies (or not).<br /><br />The problem seems to be with mainly the directors. This movie has 2 good actors who have proved in the past that the have the ability to deliver great performance...but they were directed so poorly. The poor script did not help either.<br /><br />This movie has plenty of ridiculous moments and very bad editing in the first half. For instance :<br /><br />After his 1st big concert, Ajay Devgan, meets up with Om Puri (from whom he ran away some 30 years ago and talked to again) and all Om Puri finds to say is to beware of his friendship with Salman!!! What a load of crap. Seriously. Not to mention the baaad soundtrack. Whatever happened to Shankar Ehsaan Loy?<br /><br />Ajay Devgun is total miscast for portraying a rockstar.<br /><br />Only saving grace are the good performances in the second half. Ajay shines as his character shows his dark side. So does Salman as the drug addict. <br /><br />Watch it maybe only for the last half hour.",negative
49714,"The acting- fantastic. The story- amazing. The script- wonderful.<br /><br />Just a few ways to describe this movie. Yes, it's slow and it has mostly talking, but the whole story of all of their lives and how it's told with the flashbacks thrown in and out makes you want to listen to every little thing to learn more about this haunting and tragic story. I, myself, am reading the book that the movie is based off of and it has shown me even more light into this story and answers some questions that were left unanswered in the movie. I'm also to read the Exectioner's Song, which is the 'other' half of the Gilmore story. This movie made me think so much about the phrase ""piering into the other side of the looking glass"". You hear a song in the movie called Gary Gilmore's Eyes, which is by a punk band that wrote a song about what it'd be like to have Gary Gilmore's eyes(which is one of the things Gary gave as a transplant when he died) and as you listen to it, which is after the last time Mikal ever sees Gary, you look at the whole situation a little differently if you were to only here the song itself. This movie opened my eyes in that way and in many others. I recommend this movie(and the book) very very much.",positive
21385,"Sometimes, but very rarely, a movie tells a story so well that it almost becomes difficult. This movie tells several stories so well simultaneously that it was the first few times a movie I could not watch to completion. It was too real....and the characters SO STRONG that watching it became a personal struggle. Seeing these three men and their families deal with their hardships, one in particular, often hit me too hard. Now, I have watched in its entirety without interruption several times, and I realize what I always suspected. This movie is a masterpiece. The writing, the acting, the blending of several stories without being even the least bit choppy, everything about this movie is exceptional. Seven Academy Awards? No wonder, it certainly must have deserved them.",positive
34073,"The only thing that The First Power really has going for it is that it affords Jeff Kober an opportunity to play one of his lovely variety of psychotic villains that he's done so well in the last 25 years. Kober is a worthy successor to Lyle Bettger who specialized in those parts back in the Fifties.<br /><br />But it's not enough, The First Power is a souped up slasher flick that has Lou Diamond Phillips wasted as an LAPD detective who has a specialty in catching serial killers. Kober is his latest catch, but Kober's in league with a lower power and they're going to team up and make Lou's life miserable for him. Even after Kober is given the gas chamber, his spirit comes back in all kinds of guises.<br /><br />Mykelti Williamson is on hand as Lou's partner who meets a nasty end involving a demon possessed horse and Tracy Griffith as a psychic and Elizabeth Arlen as a nun with insights are around to help Lou. Will he succeed in battling forces from beyond?<br /><br />By the time the film ends, you no longer care. Lou really got trapped in a turkey. Maybe the devil made him do this film.",negative
38307,"Is this a good movie? It's hard to say -- but in 1953, for many people, it was a remarkably effective movie, suspenseful, scary and then, amazingly, actually touching when ""the old gentleman"" meets his unhappy death at the end of the movie.<br /><br />Yes, what lurks in the Maze turns out to be something of a surprise and, for a lot of people, a hilarious one. But the basic idea (ontogeny recapitulates phylogeny) was a very real one at the time the book was written, and does have some basis in fact. Not that it would ever result in what we see in the movie, of course.<br /><br />But working on what must have been a very low budget, one of the greatest production designers -- and the person for whom the term ""production designer"" was invented -- creates a very eerie mood that was strangely compelling. At times, of course, the movie is very silly, but it has its moments.",positive
27873,"This movie should not be viewed unless you are trying to kill yourself. I think this movie could actually cause severe brain damage. The main characters are the whiny non-hero Kevin, Amy, his bratty, ungodly conservative girlfriend, Kyle, a dork in red shorts who enjoys phone sex, Daphne, a scrawny, horny girl who is supposed to be ""cool"" and has no sense of how to dress, and her oversexed boyfriend Nick, an army recruit who can make an innuendo out of anything. No, I'm not a pervert, that's REALLY how the movie goes. The movie itself is an over-sexed rip-off of 1986's Gremlins, only you'll never find a trace of Gizmo anywhere. No, these Hobgoblins, unleashed by Wimpy Man (I'm sorry, Kevin), make someone's wildest dreams come true, and then kill the victims. Yes, you guessed it-Eventually, they wind up in a strip club, where the nerdy Amy's greatest dream is revealed-She wants to be a stripper! Look, I watched this flick via MST3K, and even with Mike Nelson, Tom Servo, and Crow T. Robot making a laughing-stock out of this cinematic trainwreck and it still made me bleed from both eyes. Not really, but I wish I had. I'm not giving you anymore plot, because reliving it gives me this great urge to drive a pitchfork through my brain. Besides, it's not like there's a plot worth mentioning. They should put a Surgeon's General Warning on this film.",negative
48769,"I loved watching ''Sea Hunt '' back in the day , I was in grammar school and would get home do my homework and by 4:30 would be ready to watch ''Sea Hunt '' and Mike Nelson in his underwater adventures .I loved it ! He took to you a place not very accessible at that time , under the great blue sea . Pre ''Thunderball '' or even before Cousteau became common , there was Mike Nelson sparking the imagination of kids .I'd be willing to wager that more than a few kids developed their passion for oceanography or biology or one of the sciences from watching this show .Underwater photography also progressed , the fascination for exploration is easily stimulated thru watching this show . Watch and enjoy !!!",positive
27452,"I don't recall a film which so deftly shows the emotional destruction of war, as mirrored in one single marital relationship. The focus of the film is the union between Ullman and Von Sydow--the two are in every scene. Through the course of the film, they experience a role reversal--one has the strength of survival and the other is reduced to emotional escapism through dreams. Both will lose a measure of humanity, but one to a greater degree than the other. The characters and the viewer go through periods of fluctuation in regards to closeness--the camera pulls out and away, sound disappears, words are lost, only for the camera to return to painterly closeups of its facially expressive stars. The confusion and fluctuation may make this film hard for some viewers, but this is all purposeful under the master hand of Bergman. I think the use of a ""fake"" war makes the film timeless, as relevant today as ever before, and by focusing on the human relationship through war, makes the film relevant to everyone. The pair could be anyone. The film is not grounded in place or time, but rather in emotion. A unique and effective war film, unlike any other. Bergman's films are virtuosic in presenting human relationships--that he would bring this to a war film is masterful.",positive
17441,"This movie is about a Dysfunctinal Family but Not just any Dysfunctional Family. It is about the Family of the Father of our Nation (India) although, the film focuses mainly on the estranged relationship between Mahatma Gandhi and his eldest son Harilal Gandhi. It shows how The Mahatma had to kill M.K. Gandhi, how he had to sacrifice his family life in order to achieve our freedom. Every time Mohandas Karamchand Gandhi and his son would try to get close the Mahatma would come between them. This is a beautifully done film. Akshaye Khanna has proved himself to be a Top Actor. He expressed emotions very naturally. Darshan Jariwala who mainly stars in Plays-Gurukant Desai's lawyer in Guru has portrayed Gandhi wonderfully.(as a real Human Being, unlike Ben Kingsley who made him look like a God) Shefali Shah the girl from Monsoon Wedding has also done a really good job of showing how Kasturba Gandhi was torn between father and son. This Movie is touching and so is its soundtrack ""Raghupati Raghava"" sung in a very unique manner. I saw this movie just 3 hours ago(it released in Dubai a day earlier-on the 2nd) and when the movie was over there was ""Pin Drop Silence"" and while exiting out of the Theatre not ONE person pushed another( Can you imagine us Indians not pushing ?) NOT ONE ! There was a Sacred Silence...",positive
19234,"There was something about the original three films that made them so special and delightful - probably the length of them. Unfortunately this lacks the charm, but it still ends up being a fun film. <br /><br />The bright, shimmering side is that our favourite plasticene figures are still doing a cracking great job, there is good plasticene animation used, there is a silly, but well-structured and entertaining plot, an exciting, fun adventure, a good plot idea (a were-rabbit and a giant vedgetable competition) and good new characters!<br /><br />As well as lacking the original charm, the only other slightly gloomy side of the film is that the humour, though good, is slightly overdone, especially compared to the original films.<br /><br />The popular Giant Vedgetable Competition is drawing near and Wallace and Gromit are helping control rabbits from eating any vedgetables, now they are Anti Pesto. They are doing a good job, but soon, there is danger afoot. A were-rabbit is nearby...<br /><br />Recommended to all Wallace and Gromit fans and to people who like plasticene films, enjoy ""Wallace and Gromit: The Curse of the Wererabbit""! :-)",positive
